HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Accession Numbers	Gene Family Tag	UniProt ID(supplied by UniProt)
HGNC:10103	RNU105B	RNA, U105B small nucleolar		E1-2		U12207		
HGNC:10104	RNU105C	RNA, U105C small nucleolar		E1-5, E1-6, U105C		U12208		
HGNC:10105	SNORD12C	small nucleolar RNA, C/D box 12C	RNU106, SNORD106	U106		AY349607	SNORD	
HGNC:10106	SNORA63	small nucleolar RNA, H/ACA box 63	RNE3, RNU107	E3, E3-2		L07384	SNORA	
HGNC:10107	SNORA62	small nucleolar RNA, H/ACA box 62	RNE2, RNU108	E2, E2-1		L07383, L22739	SNORA	
HGNC:10108	RNU11	RNA, U11 small nuclear		U11, RNU11-1		X58716	snRNA	
HGNC:10109	RNU12-2P	RNA, U12 small nuclear 2, pseudogene	RNU12, RNU12P	U12		L43845		
HGNC:10110	SNORD13P1	small nucleolar RNA, C/D box 13 pseudogene 1	RNU13P1	U13, U13.32A		X58061		
HGNC:10111	SNORD13P2	small nucleolar RNA, C/D box 13 pseudogene 2	RNU13P2	U13, U13.12A		X58060		
HGNC:10112	SNORD13P3	small nucleolar RNA, C/D box 13 pseudogene 3	RNU13P3	U13, U13.4B		X58062		
HGNC:10113	SNORD14A	small nucleolar RNA, C/D box 14A	RNU14	U14, RNU14A		D88010	SNORD	
HGNC:10114	SNORD15A	small nucleolar RNA, C/D box 15A	RNU15A	U15A		L15616	SNORD	
HGNC:10115	SNORA73A	small nucleolar RNA, H/ACA box 73A	RNE1, RNU17A	U17A, E1-7, E1b, E1		S63405, L16791, L07382	SNORA	
HGNC:10116	SNORA73B	small nucleolar RNA, H/ACA box 73B	RNU17B	U17B		L16792	SNORA	
HGNC:10118	SNHG3	small nucleolar RNA host gene 3 (non-protein coding)	RNU17D, RNU17C	U17HG, U17HG-A, NCRNA00014	"non-protein coding RNA 14"	AJ006834	LNCRNA, INTERGENIC, fLNCRNA	
HGNC:10119	SNORA74A	small nucleolar RNA, H/ACA box 74A	RNU19	U19		X94290	SNORA	
HGNC:1012	OPN1SW	opsin 1 (cone pigments), short-wave-sensitive	BCP	BOP, CBT	"color blindness, tritan", "blue-sensitive opsin"	U53874	OPN	P03999
HGNC:10120	RNU1-1	RNA, U1 small nuclear 1	RNU1, RNU1G4, RNU1A3, RNU1A	Rnu1a1, U1, HU1-1, U1A1, HSD1			snRNA	
HGNC:10123	RNU1-2	RNA, U1 small nuclear 2	RNU1C1, RNU1C2	U1C1, U1C21		M28012	snRNA	
HGNC:10128	RNU1-4	RNA, U1 small nuclear 4	RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7		M20034	snRNA	
HGNC:10130	RNU1-3	RNA, U1 small nuclear 3	RNU1G3	HSD4		M20032	snRNA	
HGNC:10133	RNVU1-1	RNA, variant U1 small nuclear 1	RNU1P10, RNU1-10P	vU1.1, U1P14, U1.4		M25188	snRNA	
HGNC:10134	RNVU1-11	RNA, variant U1 small nuclear 11	RNU1P2, RNU1-12P	vU1.11, U1P2A		JQ988805	snRNA	
HGNC:10137	RNU1-11P	RNA, U1 small nuclear 11, pseudogene	RNU1P5	U1P1A, RNU1P1		J00319		
HGNC:10138	RNU1-13P	RNA, U1 small nuclear 13, pseudogene	RNU1P6	U1P1, U1.1		M25189		
HGNC:10139	RNU1-14P	RNA, U1 small nuclear 14, pseudogene	RNU1P7	U1P17		M25192		
HGNC:1014	BCR	breakpoint cluster region	D22S11, BCR1	D22S662, CML, PHL, ALL			ARHGEF, PLEKH	P11274
HGNC:10140	RNU1-15P	RNA, U1 small nuclear 15, pseudogene	RNU1P8	U1P11		M25191		
HGNC:10142	RNU2-1	RNA, U2 small nuclear 1		U2		U57614	snRNA	
HGNC:10143	SNORD20	small nucleolar RNA, C/D box 20	RNU20	U20		Z34290	SNORD	
HGNC:10144	SNORD21	small nucleolar RNA, C/D box 21	RNU21	U21		Z35312	SNORD	
HGNC:10145	SNORD22	small nucleolar RNA, C/D box 22	RNU22	U22			SNORD	
HGNC:10146	SNORD24	small nucleolar RNA, C/D box 24	RNU24	U24		Z48765	SNORD	
HGNC:10147	SNORD25	small nucleolar RNA, C/D box 25	RNU25	U25		AF081279	SNORD	
HGNC:10148	SNORD26	small nucleolar RNA, C/D box 26	RNU26	U26			SNORD	
HGNC:10149	SNORD27	small nucleolar RNA, C/D box 27	RNU27	U27			SNORD	
HGNC:1015	BCRP2	breakpoint cluster region pseudogene 2	BCR2, BCRL2	BCR-2				
HGNC:10150	SNORD28	small nucleolar RNA, C/D box 28	RNU28	U28		U40580	SNORD	
HGNC:10151	SNORD29	small nucleolar RNA, C/D box 29	RNU29	U29		U40580	SNORD	
HGNC:10152	RNU2-2P	RNA, U2 small nuclear 2, pseudogene	RNU2B, RNU2-2	U2		K02847		
HGNC:10153	RNU2-3P	RNA, U2 small nuclear 3, pseudogene	RNU2P1	U2		K03024		
HGNC:10154	RNU2-4P	RNA, U2 small nuclear 4, pseudogene	RNU2P2	U2, U2/7		K02228		
HGNC:10155	RNU2-5P	RNA, U2 small nuclear 5, pseudogene	RNU2P3	U2, u2.7		K00779		
HGNC:10157	SNORD30	small nucleolar RNA, C/D box 30	RNU30	U30		U40580	SNORD	
HGNC:10158	SNORD31	small nucleolar RNA, C/D box 31	RNU31	U31		U40580	SNORD	
HGNC:10159	SNORD32A	small nucleolar RNA, C/D box 32A	RNU32	U32, U32A		X94598	SNORD	
HGNC:1016	BCRP3	breakpoint cluster region pseudogene 3	BCR3, BCRL6, BCRL3					
HGNC:10160	SNORD33	small nucleolar RNA, C/D box 33	RNU33	U33		X94599	SNORD	
HGNC:10161	SNORD34	small nucleolar RNA, C/D box 34	RNU34	U34		X94600	SNORD	
HGNC:10162	SNORD35A	small nucleolar RNA, C/D box 35A	RNU35	U35, RNU35A		X94601	SNORD	
HGNC:10163	SNORD36A	small nucleolar RNA, C/D box 36A	RNU36A	U36a		AJ003040	SNORD	
HGNC:10164	SNORD36B	small nucleolar RNA, C/D box 36B	RNU36B	U36b		AJ003039	SNORD	
HGNC:10165	SNORD36C	small nucleolar RNA, C/D box 36C	RNU36C	U36c		AJ003041	SNORD	
HGNC:10166	SNORD37	small nucleolar RNA, C/D box 37	RNU37	U37		X94602	SNORD	
HGNC:10168	SNORD3B-1	small nucleolar RNA, C/D box 3B-1	RNU3A1	U3a, U3b1, U3b2		AF020534, AF020533, AF020532		
HGNC:1017	BCRP4	breakpoint cluster region pseudogene 4	BCR4, BCRL4	BCR-4		D87002		
HGNC:10175	RNU3P1	RNA, U3 small nucleolar pseudogene 1		U3		X14946		
HGNC:10176	RNU3P2	RNA, U3 small nucleolar pseudogene 2		U3, U3.2		K00773		
HGNC:10177	RNU3P3	RNA, U3 small nucleolar pseudogene 3		U3, U3.5, u3.7		K00774		
HGNC:10178	RNU3P4	RNA, U3 small nucleolar pseudogene 4		U3, U3.6		K00775		
HGNC:10179	SNORD41	small nucleolar RNA, C/D box 41	RNU41	U41		X96640	SNORD	
HGNC:1018	BCRP5	breakpoint cluster region pseudogene 5	BCRL5					
HGNC:10180	SNORD42A	small nucleolar RNA, C/D box 42A	RNU42A	U42		X96641	SNORD	
HGNC:10181	SNORD42B	small nucleolar RNA, C/D box 42B	RNU42B	U42B		AJ224023	SNORD	
HGNC:10182	SNORD43	small nucleolar RNA, C/D box 43	RNU43	U43		X96642	SNORD	
HGNC:10183	SNORD44	small nucleolar RNA, C/D box 44	RNU44	U44		X96643	SNORD	
HGNC:10184	SNORD45A	small nucleolar RNA, C/D box 45A	RNU45A	U45a		X96644	SNORD	
HGNC:10185	SNORD45B	small nucleolar RNA, C/D box 45B	RNU45B	U45b		X96645	SNORD	
HGNC:10186	SNORD46	small nucleolar RNA, C/D box 46	RNU46, RNU40	U46, U40		X96646	SNORD	
HGNC:10187	SNORD47	small nucleolar RNA, C/D box 47	RNU47	U47		X96647	SNORD	
HGNC:10188	SNORD48	small nucleolar RNA, C/D box 48	RNU48	U48		X96648	SNORD	
HGNC:10189	SNORD49A	small nucleolar RNA, C/D box 49A	RNU49	U49, U49A		X96649	SNORD	
HGNC:10192	RNU4-1	RNA, U4 small nuclear 1	RNU4B2, RNU4A	U4BL, U4		M15956	snRNA	
HGNC:10193	RNU4-2	RNA, U4 small nuclear 2	RNU4C, RNU4-1B, RNU4B1	U4c, U4b, U4A		M15957	snRNA	
HGNC:10194	RNU4-7P	RNA, U4 small nuclear 7, pseudogene	RNU4P1	U4, U4/7		M24746		
HGNC:10195	RNU4-8P	RNA, U4 small nuclear 8, pseudogene	RNU4P2	U4, U4/14		M24745		
HGNC:10196	RNU4-3P	RNA, U4 small nuclear 3, pseudogene	RNU4P3	U4, U4/4		X02651		
HGNC:10197	RNU4-4P	RNA, U4 small nuclear 4, pseudogene	RNU4P4	U4, U4/5		X02652		
HGNC:10198	RNU4-5P	RNA, U4 small nuclear 5, pseudogene	RNU4P5	U4, U4/6		X02653		
HGNC:10199	RNU4-6P	RNA, U4 small nuclear 6, pseudogene	RNU4P6	U4, U4/8		X02654		
HGNC:102	CNNM1	cyclin M1	ACDP1			AF169226		Q9NRU3
HGNC:1020	BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like		Hs.6719, BCS, h-BCS, BJS	"GRACILE syndrome", "Bjornstad syndrome"	AF026849	AATP, MITOAF	Q9Y276
HGNC:10200	SNORD50A	small nucleolar RNA, C/D box 50A	RNU50	U50		X96662, AB017710	SNORD	
HGNC:10201	SNORD51	small nucleolar RNA, C/D box 51	RNU51	U51		X96650	SNORD	
HGNC:10202	SNORD52	small nucleolar RNA, C/D box 52	RNU52	U52		X96651	SNORD	
HGNC:10203	SNORD53	small nucleolar RNA, C/D box 53	RNU53	U53		X96652	SNORD	
HGNC:10204	SNORD54	small nucleolar RNA, C/D box 54	RNU54	U54		X96653	SNORD	
HGNC:10205	SNORD55	small nucleolar RNA, C/D box 55	RNU55, RNU39, SNORD39	U55, U39		X96654	SNORD	
HGNC:10206	SNORD56	small nucleolar RNA, C/D box 56	RNU56	U56		X96655	SNORD	
HGNC:10207	SNORD57	small nucleolar RNA, C/D box 57	RNU57	U57		X96656	SNORD	
HGNC:10208	SNORD58A	small nucleolar RNA, C/D box 58A	RNU58A	U58a		X96657	SNORD	
HGNC:10209	SNORD58B	small nucleolar RNA, C/D box 58B	RNU58B	U58b		X96658	SNORD	
HGNC:10210	SNORD59A	small nucleolar RNA, C/D box 59A	RNU59	U59		X96659	SNORD	
HGNC:10211	RNU5A-1	RNA, U5A small nuclear 1	RNU5C, RNU5A	U5A, U5B1			snRNA	
HGNC:10212	RNU5B-1	RNA, U5B small nuclear 1	RNU5B	U5B1		X04293	snRNA	
HGNC:10214	RNU5D-1	RNA, U5D small nuclear 1	RNU5D	U5DS, U5DL		M77838	snRNA	
HGNC:10215	RNU5E-1	RNA, U5E small nuclear 1	RNU5E	U5E		M77839	snRNA	
HGNC:10216	RNU5F-1	RNA, U5F small nuclear 1	RNU5F			M77840	snRNA	
HGNC:10217	SNORD60	small nucleolar RNA, C/D box 60	RNU60	U60		X96660	SNORD	
HGNC:10218	SNORD61	small nucleolar RNA, C/D box 61	RNU61	U61, HBII-342		X96661	SNORD	
HGNC:10219	SNORD62A	small nucleolar RNA, C/D box 62A	RNU62	U62, U62A		U72851	SNORD	
HGNC:1022	BCYRN1	brain cytoplasmic RNA 1		BC200, BC200a, NCRNA00004, LINC00004	"brain cytoplasmic RNA 200-alpha", "non-protein coding RNA 4", "long intergenic non-protein coding RNA 4"	AF020057	LNCRNA, INTERGENIC, fLNCRNA	
HGNC:10220	SNORD63	small nucleolar RNA, C/D box 63	RNU63	U63		U72852	SNORD	
HGNC:10221	SNORA64	small nucleolar RNA, H/ACA box 64	RNU64	U64		Y11158	SNORA	
HGNC:10222	SNORA65	small nucleolar RNA, H/ACA box 65	RNU65	U65		Y11159	SNORA	
HGNC:10223	SNORA66	small nucleolar RNA, H/ACA box 66	RNU66	U66		Y11160	SNORA	
HGNC:10224	SNORA67	small nucleolar RNA, H/ACA box 67	RNU67	U67		Y11161	SNORA	
HGNC:10225	SNORA68	small nucleolar RNA, H/ACA box 68	RNU68	U68		Y11162	SNORA	
HGNC:10226	SNORA69	small nucleolar RNA, H/ACA box 69	RNU69	U69		Y11163	SNORA	
HGNC:10227	RNU6-1	RNA, U6 small nuclear 1	RNU6A	U6, U6-1		M14486	snRNA	
HGNC:10228	RNU6-6P	RNA, U6 small nuclear 6, pseudogene	RNU6B, RNU6-6	U6-6		K03099		
HGNC:10229	RNU6-50P	RNA, U6 small nuclear 50, pseudogene	RNU6P1, RNU6-50	U6		K03026		
HGNC:1023	BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1		BC200b		U01307		
HGNC:10230	RNU6V	RNA, U6 small nuclear variant sequence with SNRPE pseudogene sequence		87U6, LH87		X54048		
HGNC:10231	SNORA70	small nucleolar RNA, H/ACA box 70	RNU70	U70, DXS648E		Y11164	SNORA	
HGNC:10232	SNORA71A	small nucleolar RNA, H/ACA box 71A	RNU71A	U71a		Y11165	SNORA	
HGNC:10233	SNORA71B	small nucleolar RNA, H/ACA box 71B	RNU71B	U71b		Y11166	SNORA	
HGNC:10234	SNORA72	small nucleolar RNA, H/ACA box 72	RNU72	U72		Y11167	SNORA	
HGNC:10235	SNORD73A	small nucleolar RNA, C/D box 73A	RNU73	U73a, RNU73A		Z83330	SNORD	
HGNC:10236	RNU7-68P	RNA, U7 small nuclear 68 pseudogene	RNU7P1	HSU7.732A, U7.68		M35537		
HGNC:10237	RNU7-86P	RNA, U7 small nuclear 86 pseudogene	RNU7P2	HSU7.7/32B		M35538		
HGNC:10239	RNU7-55P	RNA, U7 small nuclear 55 pseudogene	RNU7P4	HSU7.36, U7.55		M35540		
HGNC:1024	BCYRN1P2	brain cytoplasmic RNA 1, pseudogene 2		BC200g		U01308		
HGNC:10240	SNORD82	small nucleolar RNA, C/D box 82	RNU82	Z25, U82		AJ010666	SNORD	
HGNC:10241	PHAX	phosphorylated adaptor for RNA export	RNUXA	FLJ13193		AK023255		Q9H814
HGNC:10242	RNY1	RNA, Ro-associated Y1		hY1		V00584	RNY	
HGNC:10243	RNY3	RNA, Ro-associated Y3		hY3		V00585	RNY	
HGNC:10244	RNY4	RNA, Ro-associated Y4		HY4		L32608	RNY	
HGNC:10245	RNY4P1	RNA, Ro-associated Y4 pseudogene 1		hY4.B8		M77131		
HGNC:10246	RNY4P2	RNA, Ro-associated Y4 pseudogene 2		hY4.B7		M77130		
HGNC:10247	RNY4P3	RNA, Ro-associated Y4 pseudogene 3		hY4.F2		M77132		
HGNC:10248	RNY5	RNA, Ro-associated Y5				U64824	RNY	
HGNC:10249	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)		DUTT1, FLJ21882, SAX3		AF040990	ISET, FN3	Q9Y6N7
HGNC:10250	ROBO2	roundabout, axon guidance receptor, homolog 2 (Drosophila)		KIAA1568		AF040991	ISET, FN3	Q9HCK4
HGNC:10251	ROCK1	Rho-associated, coiled-coil containing protein kinase 1		p160ROCK			PLEKH	Q13464
HGNC:10252	ROCK2	Rho-associated, coiled-coil containing protein kinase 2				D87931	PLEKH	O75116
HGNC:10253	PTBP3	polypyrimidine tract binding protein 3	ROD1	DKFZp781I1117		AB023967	RBM	O95758
HGNC:10254	ROM1	retinal outer segment membrane protein 1		TSPAN23, ROM		L07894	TSPAN	Q03395
HGNC:10256	ROR1	receptor tyrosine kinase-like orphan receptor 1	NTRKR1			M97675	ISET	Q01973
HGNC:10257	ROR2	receptor tyrosine kinase-like orphan receptor 2	NTRKR2, BDB, BDB1			M97639	ISET	Q01974
HGNC:10258	RORA	RAR-related orphan receptor A		RZRA, ROR1, ROR2, ROR3, NR1F1		U04897	NR	P35398
HGNC:10259	RORB	RAR-related orphan receptor B		RZRB, NR1F2, ROR-BETA		Y08639	NR	Q92753
HGNC:10260	RORC	RAR-related orphan receptor C		RZRG, RORG, NR1F3, TOR		U16997	NR	P51449
HGNC:10261	ROS1	c-ros oncogene 1 , receptor tyrosine kinase		MCF3, ROS, c-ros-1		M13599	FN3	P08922
HGNC:10263	RP1	retinitis pigmentosa 1 (autosomal dominant)		DCDC4A		AF146592		P56715
HGNC:1027	BDH1	3-hydroxybutyrate dehydrogenase, type 1	BDH	SDR9C1	"short chain dehydrogenase/reductase family 9C, member 1"	M93107	SDRC2	Q02338
HGNC:10274	RP2	retinitis pigmentosa 2 (X-linked recessive)		TBCCD2, NME10, NM23-H10		AJ007590		O75695
HGNC:10276	RP22	retinitis pigmentosa 22 (autosomal recessive)						
HGNC:10278	RP24	retinitis pigmentosa 24 (X-linked recessive)						
HGNC:10282	RP29	retinitis pigmentosa 29 (autosomal recessive)						
HGNC:10286	RP6	retinitis pigmentosa 6 (X-linked recessive)						
HGNC:10288	RP9	retinitis pigmentosa 9 (autosomal dominant)		PAP-1	"Pim-1 kinase associated protein"	AX016710		Q8TA86
HGNC:10289	RPA1	replication protein A1, 70kDa		REPA1, RPA70, HSSB, RF-A, RP-A		M63488		P27694
HGNC:1029	BDKRB1	bradykinin receptor B1		BKR1, B1BKR, bradyb1		L42383	BDKR	P46663
HGNC:10290	RPA2	replication protein A2, 32kDa				BC021257		P15927
HGNC:10291	RPA3	replication protein A3, 14kDa		REPA3				P35244
HGNC:10293	RPE	ribulose-5-phosphate-3-epimerase						Q96AT9
HGNC:10294	RPE65	retinal pigment epithelium-specific protein 65kDa	RP20	LCA2, rd12	"retinol isomerase", "all-trans-retinyl-palmitate hydrolase"	U18991		Q16518
